over,short_text,long_text
18.3,"Brathwaite to Rayudu, FOUR runs",And Chennai Super Kings' highest run-scorer hits the winning runs! CSK are IPL 2018 champions. Driven through the covers
18.2,"Brathwaite to Rayudu, no run","full just outside off, and Rayudu suffles across to the off side before driving it to mid off"
18.1,"Brathwaite to Rayudu, no run","yorker on off, and dug away to the square-leg fielder"
17.6,"Kaul to Watson, no run","full just outside off, and defended towards cover point. We'll have to wait."
17.5,"Kaul to Watson, FOUR runs","full just outside off, and this time it's been caressed! The last one was brute force but this was pure timing. Proper front-foot straight drive past the bowler"
17.4,"Kaul to Watson, FOUR runs","full on middle, but Watson makes some extra room and then drills it past the bowler. Kaul's lucky that he got out of the delivery's way. Smokes this to the long-off boundary"
17.3,"Kaul to Rayudu, 1 run","length ball outside off, and Rayudu punches it off the back foot to sweeper cover. Ten needed now"
17.2,"Kaul to Watson, 1 run","low full toss on middle, and Watson mistimes a bunt to long off"
17.1,"Kaul to Rayudu, 1 run","back of a length on off, and that's been comfortably pulled to the fielder at deep backward square"
16.6,"Rashid Khan to Watson, FOUR runs",dropped just in front of Hooda at deep backward square! And then it bounces away to the boundary. A horror evening for Hooda. It was a full ball on middle that Watson had slog swept to the leg side
16.5,"Rashid Khan to Watson, FOUR runs","full on off, but Watson's picked the wrong'un. Goes down on one knee, and then ramps it past the keeper's left. He's doing this in style!"
16.4,"Rashid Khan to Rayudu, 1 run","full on leg stump, and worked off the front foot to the leg side. Calls early for the single"
16.3,"Rashid Khan to Watson, 1 run","full outside off, and defended with soft hands to cover. They take the single and that's an IPL hundred for Watson The first IPL finals hundred while chasing, the second in all IPL finals. Take a bow, legend. Also his second of the season"
16.2,"Rashid Khan to Rayudu, 1 run","full just outside off, and driven with the turn to long off. Gets Watson back on strike and the crowd's gone ballistic"
16.1,"Rashid Khan to Watson, 1 run","full on off, but it's not spinning. Watson drives it past the non-striker to long on. Moves to 99"
15.6,"Bhuvneshwar to Watson, 1 run","back of a length on off, and Watson fends it off the back foot. Comes off the bat's outside edge and runs down to third man"
15.5,"Bhuvneshwar to Rayudu, 1 run","back of a length outside off, and slapped to deep point. Well stopped by the man in the deep"
15.4,"Bhuvneshwar to Rayudu, no run","slower ball again. Fuller outside off, and driven away from his body to KW at cover"
15.3,"Bhuvneshwar to Rayudu, SIX runs","short ball, and it's the offcutter too, but Rayudu picks the length early. Comes dancing down the wicket and then slaps it inside out over long off. Ambati's done waiting"
15.2,"Bhuvneshwar to Rayudu, no run","back of a length outside off, and punched off the back foot to cover. Starts the over with two dot balls"
15.1,"Bhuvneshwar to Rayudu, no run","length ball on middle, and angling into his body. Cramped for space, so fended towards the leg side"
14.6,"Rashid Khan to Rayudu, 1 leg bye","length ball on middle, and he glances it fine down the leg side. Work for the man at short fine leg. Final time out of the season"
14.5,"Rashid Khan to Rayudu, no run","ripper! Full outisde off and it's the wrong'un once again. Hits his front pad, but looks like impact is outside off. The appeal for lbw is turned down as well but Rashid has convinced his captain to review. Missing everything"
14.4,"Rashid Khan to Rayudu, no run",full on off and zipping straight through. Fended off the back foot on this occasion
14.3,"Rashid Khan to Rayudu, no run","extra bounce! Short on off, and turning into the batsman again. Whipped off his hips to short fine leg"
14.2,"Rashid Khan to Rayudu, no run","edged to first slip! But goes to the fielder on the bounce. Pitches outside off, and spins into Rayudu"
14.1,"Rashid Khan to Rayudu, no run","full on off, and defended towards the leg side. Goswami scampers across to stop the single"
13.6,"Brathwaite to Watson, SIX runs","slower ball outside off, and that's in Watto's arc. Stands tall and pulls this over deep midwicket. What a show from Watto. Ninety-seven runs"
13.6,"Brathwaite to Watson, 1 wide","yorker on leg stump, and going down the leg side. Watson does well to skip away from the ball's line"
13.5,"Brathwaite to Watson, FOUR runs","chops it past short third man for another boundary! Moves on to the nineties It was angling into the batsman, but he did really well to open his bat's face"
13.4,"Brathwaite to Rayudu, 1 run","good length outside off, and Rayudu opens his bat's face to run this down to Bhuvi at third man"
13.3,"Brathwaite to Raina, OUT","goes short! Brathwaite's appealing for the caught behind, and Williamson reviews. It was a quick delivery that rose onto Raina. Raina misses the pull, and the ball brushes his top glove. Raina's walking even before the third umpire gives his decision. Rayudu's already made his way out"
13.2,"Brathwaite to Watson, 1 run","length ball on middle, but Watson mistimes his pull. Played along the ground to sweeper on the leg side"
13.1,"Brathwaite to Raina, 1 run","back of a length on middle, and cramps Raina for space. But still he manages to clip it off his hips to deep backward square"
12.6,"Sandeep to Watson, FOUR runs","overpitched just outside off, but luck's going Watto's way! Steers it between gully and point, and the over ends with a boundary. Twenty-seven runs off the over!"
12.6,"Sandeep to Watson, 1 wide","wide outside off, but he's got to bowl this again. Over the tramlines "
12.5,"Sandeep to Watson, SIX runs","hat-trick of sixes! Length ball outside off, and Watson opens his stance to go towards the leg side. Drags this from outside off and slaps it over long on once again"
12.4,"Sandeep to Watson, SIX runs","misses the yorker again, and Watson sends this over cow corner! Low full toss on middle, but Watson gets his front leg out of the way and deposits this into the stands. Delightful hitting"
12.3,"Sandeep to Watson, SIX runs","goes short outside off, and Watson simply checks his pull shot. Doesn't matter. It comes off the bat's bottom half, but the shot soars over long on! How powerful is this man. Replays show that the knuckle ball just didn't come off"
12.2,"Sandeep to Watson, FOUR runs","low full toss outside off, and this time Watson drives it over extra cover. Off the bat's toe end, but still finds the gap past wide long off. Sharma misses the yorker-length, and is punished by Watto on this occasion"
12.1,"Sandeep to Watson, no run","wide yorker outside off. Watson tries to steer it square, but can't get bat to ball. An excellent start for the bowling side"
11.6,"Brathwaite to Watson, 1 run","slower ball to end the over. It's wide outside off, so Watson is forced to reach at it. Flat-bats it past the bowler's left, and takes a single to keep the strike"
11.5,"Brathwaite to Watson, FOUR runs","slower ball on off, but it's always angling into Watson. He attempts to pull, and despite it not coming off the bat's middle, the shot has enough behind it for the ball to race away to the square-leg boundary"
11.4,"Brathwaite to Raina, 1 run","back of a length on middle, but angling into Raina. He backs away to make some room, but can only chop it down to short third man"
11.3,"Brathwaite to Watson, 1 run","attempts to cut it late, but he can only steer it to short third man. Watson's halfway down the wicket, so the fielder has a shy at the stumps. He misses, and now that allows CSK to take the run after all. Bhuvi the guilty man, and Brathwaite's not pleased one bit"
11.2,"Brathwaite to Raina, 1 run","back of a length on off stump, but he's taken the pace off the ball. Raina walks inside the line of the ball, and nudges it to the vacant area on the leg side"
